Categoria,Nome Elemento,ID Elemento,Verifica,Offset Rilevato,Stato
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848339,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848488,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848497,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848505,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848517,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848527,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848535,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848545,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848555,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848565,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848573,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848725,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848736,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848746,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848756,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848766,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848774,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848782,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848790,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848798,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848806,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848880,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848892,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848902,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848912,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848922,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848932,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848942,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848950,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848962,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848972,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848980,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,848990,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,849002,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,849012,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,849020,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,849030,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,849040,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,849050,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,849060,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,849068,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,849078,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,849989,Offset conforme.,0.0,1
Collegamenti strutturali,INC_ColST_CO.AC_PiastraBaseCircolare,850135,Offset conforme.,0.0,1
Pilastri strutturali,681944,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682354,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682409,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682419,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682520,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682521,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682522,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,-0.11,Offset base negativo.,0
Pilastri strutturali,682523,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,-0.11,Offset base negativo.,0
Pilastri strutturali,682534,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682535,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682536,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,-0.11,Offset base negativo.,0
Pilastri strutturali,682537,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,-0.11,Offset base negativo.,0
Pilastri strutturali,682550,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682551,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682552,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,-0.11,Offset base negativo.,0
Pilastri strutturali,682553,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,-0.11,Offset base negativo.,0
Pilastri strutturali,682564,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682565,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682566,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,-0.11,Offset base negativo.,0
Pilastri strutturali,682567,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,-0.11,Offset base negativo.,0
Pilastri strutturali,682578,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682579,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682580,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,-0.11,Offset base negativo.,0
Pilastri strutturali,682581,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,-0.11,Offset base negativo.,0
Pilastri strutturali,682594,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682595,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682596,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,-0.11,Offset base negativo.,0
Pilastri strutturali,682597,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,-0.11,Offset base negativo.,0
Pilastri strutturali,682608,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682609,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682610,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,-0.11,Offset base negativo.,0
Pilastri strutturali,682611,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,-0.11,Offset base negativo.,0
Pilastri strutturali,682650,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682651,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682652,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,-0.11,Offset base negativo.,0
Pilastri strutturali,682653,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,-0.11,Offset base negativo.,0
Pilastri strutturali,682668,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682669,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682684,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682685,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,0.0,Offset base negativo.,0
Pilastri strutturali,682686,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,-0.11,Offset base negativo.,0
Pilastri strutturali,682687,ST_LIV_PE_P01_+5.08m,ST_LIV_PE_PC1_+12.50m,-0.13,-0.11,Offset base negativo.,0
Pilastri strutturali,718209,ST_LIV_PE_P02_+10.28m,ST_LIV_PE_PC1_+12.50m,2.2200000000000002,3.25,Offset superiore eccede l'interpiano.,0
Pilastri strutturali,724732,ST_LIV_PE_P02_+10.28m,ST_LIV_PE_PC1_+12.50m,2.2200000000000002,3.25,Offset superiore eccede l'interpiano.,0
Pilastri strutturali,815873,ST_LIV_PE_P00_-0.48m,AR_LIV_PE_P00_+0.00m,0.0,1.24,Elemento vincolato tra livelli di discipline diverse.,0
Pilastri strutturali,816329,ST_LIV_PE_P00_-0.48m,AR_LIV_PE_P00_+0.00m,-0.0,1.24,Elemento vincolato tra livelli di discipline diverse.,0
Pilastri strutturali,816436,ST_LIV_PE_P00_-0.48m,AR_LIV_PE_P00_+0.00m,-0.0,2.9199999999999999,Elemento vincolato tra livelli di discipline diverse.,0
Pilastri strutturali,816603,ST_LIV_PE_P00_-0.48m,AR_LIV_PE_P00_+0.00m,-0.0,2.9199999999999999,Elemento vincolato tra livelli di discipline diverse.,0
Pilastri strutturali,816943,ST_LIV_PE_P00_-0.48m,AR_LIV_PE_P00_+0.00m,0.0,1.24,Elemento vincolato tra livelli di discipline diverse.,0
Pilastri strutturali,816946,ST_LIV_PE_P00_-0.48m,AR_LIV_PE_P00_+0.00m,-0.0,1.24,Elemento vincolato tra livelli di discipline diverse.,0
Pilastri strutturali,816947,ST_LIV_PE_P00_-0.48m,AR_LIV_PE_P00_+0.00m,-0.0,2.9199999999999999,Elemento vincolato tra livelli di discipline diverse.,0
