Nome Sistema MEP,Nome Materiale,Verifica,Stato
SC_Esistenti,SGS_SC_Esistenti,Codice Progetto non corretto,0
IM_TUB_ANT_GEN_Antincendio generico,SGS_GEN_Antincendio generico,Codice Progetto non corretto,0
IM_TUB_HVC_RRR_Rete refrigerata ritorno,SGS_RRR_Rete refrigerata ritorno,Codice Progetto non corretto,0
IM_TUB_ASN_RIU_Acqua di riuso,SGS_RIU_Acqua di riuso,Codice Progetto non corretto,0
IM_TUB_ARF_SAN_Scarico acque nere,SGS_SAN_Scarico acque nere,Codice Progetto non corretto,0
IM_TUB_ASN_RIC_Ricircolo acqua calda sanitaria,SGS_RIC_Ricircolo acqua calda sanitaria,Codice Progetto non corretto,0
IM_TUB_ANT_IDR_Idranti,SGS_IDR_Idranti,Codice Progetto non corretto,0
IM_TUB_ANT_SPR_Sprinkler,SGS_SPR_Sprinkler,Codice Progetto non corretto,0
IM_TUB_ASN_ACS_Acqua calda sanitaria,SGS_ACS_Acqua calda sanitaria,Codice Progetto non corretto,0
IM_TUB_ASN_AFS_Acqua fredda sanitaria,SGS_AFS_Acqua fredda sanitaria,Codice Progetto non corretto,0
IM_TUB_ARF_VEN_Ventilazione scarico,SGS_VEN_Ventilazione scarico,Codice Progetto non corretto,0
IM_TUB_ARF_SAG_Scarico acque grasse,SGS_SAG_Scarico acque grasse,Codice Progetto non corretto,0
IM_TUB_ARF_SAM_Scarico acque meteoriche,SGS_SAM_Scarico acque meteoriche,Codice Progetto non corretto,0
IM_TUB_ASN_AOS_Acqua Osmotizzata,SGS_AOS_Acqua Osmotizzata,Codice Progetto non corretto,0
